,Prefix,Assignment,Tutorial,Midterm,TakeHome,Final
0,5,57.14,34.09,64.38,51.48,66.39
1,8,95.05,105.49,67.5,99.07,68.33
2,8,83.7,83.17,30.0,63.15,48.89
3,7,81.22,93.015,49.38,105.93,80.56
4,8,91.32,93.64,95.0,107.41,73.89
5,7,95.0,92.58,93.12,97.78,68.06
6,8,95.05,102.99,56.25,99.07,50.0
7,7,72.85,86.85,60.0,87.96,56.11
8,8,84.26,93.1,69.38,18.52,50.83
9,7,90.1,97.55,51.25,88.89,63.61
10,7,80.44,90.2,75.0,91.48,39.72
11,6,86.26,80.6,74.38,87.59,77.5
12,8,97.16,103.71,72.5,93.52,63.33
13,7,91.28,83.53,81.25,87.96,92.22
14,8,84.8,89.08,44.38,16.91,35.83
15,7,93.83,95.43,88.12,80.93,90.0
16,8,84.8,89.08,47.5,16.91,53.33
17,4,92.01,102.52,38.75,86.11,49.17
18,8,55.14,81.85,75.0,56.11,62.5
19,8,93.04,82.93,69.38,83.33,91.11
20,8,63.4,86.21,63.12,72.78,66.39
21,8,75.27,97.52,63.12,61.11,66.11
22,8,63.78,76.21,39.38,42.22,34.44
23,7,80.44,90.2,46.25,91.48,72.22
24,7,53.36,82.01,74.38,102.59,56.39
25,6,91.28,95.24,82.5,97.59,92.78
26,8,82.45,86.65,93.12,85.56,89.17
27,8,75.27,86.67,69.38,61.11,88.89
28,8,91.32,94.89,76.25,107.41,85.56
29,7,91.62,65.18,71.88,90.0,45.56
30,7,98.58,102.46,67.5,97.59,63.33
31,7,86.26,88.57,70.0,87.59,55.0
32,8,67.29,95.64,48.12,72.22,43.33
33,7,98.58,91.03,101.25,104.26,107.78
34,8,85.42,95.67,56.25,103.52,64.72
35,5,88.09,63.39,74.38,93.7,50.83
36,6,95.05,70.24,52.5,52.41,47.78
37,7,89.89,57.97,32.5,85.19,51.67
38,6,90.74,89.64,61.25,90.0,66.39
39,7,95.0,94.36,89.38,100.93,85.0
40,6,85.49171717171717,58.51,72.5,53.7,68.33
41,7,95.14,82.67,110.0,89.81,90.83
42,7,92.01,112.58,86.25,86.11,83.33
43,7,86.26,74.66,85.0,64.07,82.22
44,6,57.14,34.09,66.88,51.48,55.83
45,7,93.83,57.32,28.12,77.96,45.56
46,8,68.95,65.11,44.38,57.41,65.28
47,8,85.01,98.47,91.25,83.33,72.22
48,8,95.9,99.99,95.62,105.56,102.22
49,8,92.46,95.75,61.88,83.33,48.89
50,8,96.73,88.11,71.88,97.41,65.56
51,8,83.7,83.17,60.62,63.15,57.78
52,7,95.14,94.01,99.38,100.0,95.0
53,7,98.58,88.3,90.62,100.93,99.17
54,8,71.79,102.87,54.37,21.53,36.11
55,8,71.79,101.68,75.0,21.53,49.44
56,8,87.93,106.53,37.5,97.41,28.06
57,8,87.93,108.97,28.75,87.96,47.78
58,8,68.95,65.11,40.0,57.41,78.89
59,7,72.85,86.85,41.25,60.37,46.67
60,8,71.79,102.87,41.88,24.77,66.39
61,8,92.02,97.76,46.25,47.22,60.56
62,7,90.33,87.56,68.75,77.96,58.33
63,7,95.0,94.36,90.62,100.93,101.11
64,7,91.28,108.71,96.25,99.81,88.89
65,8,97.0,103.02,93.12,106.48,94.44
66,8,93.01,104.18,55.0,96.85,67.22
67,8,92.02,100.58,54.37,63.89,63.89
68,7,100.83,105.57,101.25,104.44,108.89
69,8,80.53,92.8,51.25,72.78,66.67
70,8,90.98,97.55,86.25,88.89,90.0
71,8,93.59,103.83,92.5,96.85,87.22
72,8,97.33,100.42,69.38,102.59,83.06
73,7,84.26,91.31,63.12,83.33,75.56
74,8,84.26,96.66,52.5,83.33,50.0
75,7,93.83,102.19,106.25,94.44,102.78
76,8,75.27,86.67,70.0,71.85,80.0
77,8,92.02,100.58,73.12,63.89,65.28
78,8,97.16,103.71,83.75,95.93,78.89
79,8,66.17,93.68,71.88,42.22,61.39
80,8,81.22,91.95,79.38,105.93,90.0
81,7,74.29,65.7,78.75,103.52,55.0
82,8,97.33,106.74,76.88,108.89,83.89
83,4,86.86,62.64,92.5,85.19,62.78
84,6,95.6,61.4,64.38,99.81,42.78
85,4,87.93,99.47,53.12,87.96,61.11
86,6,98.49,95.43,42.5,24.77,39.44
87,7,74.35,92.93,86.25,78.7,73.89
88,7,86.29,88.81,83.12,77.96,75.83
89,8,97.0,100.52,64.38,90.74,58.61
90,8,97.33,106.74,81.25,108.89,71.11
91,8,96.41,103.71,56.25,95.93,66.39
92,7,95.6,82.28,76.88,108.33,78.33
93,8,87.52,91.58,56.25,71.85,85.0
94,8,96.73,103.71,45.0,93.52,61.94
95,7,85.34,80.54,41.25,93.7,39.72
96,8,89.94,102.77,87.5,90.74,87.78
97,7,95.6,76.13,66.25,99.81,85.56
98,8,63.4,97.37,73.12,72.78,77.22
